participant_id,condition,image_path,trial_type,user_response,boundary_position,RT
00001,item_only,Objects\189a.jpg,Target,Target,Mid,2.161264099999244
00001,item_only,Objects\019a.jpg,Target,Target,Mid,1.1407952000008663
00001,item_only,Objects\073b.jpg,Lure,Lure,,
00001,item_only,Objects\106b.jpg,Lure,Lure,,
00001,item_only,Foils\113a.jpg,Foil,Lure,,
00001,item_only,Scenes\014b.jpg,Lure,Foil,,
00001,item_only,Scenes\133b.jpg,Lure,Lure,,
00001,item_only,Scenes\055a.jpg,Target,Target,Mid,1.0812326000013854
00001,item_only,Scenes\083b.jpg,Lure,Target,,
00001,item_only,Objects\171a.jpg,Target,Target,Mid,0.8664559999997437
00001,item_only,Scenes\182b.jpg,Lure,Foil,,
00001,item_only,Scenes\079a.jpg,Target,Target,Mid,0.697475700002542
00001,item_only,Objects\025a.jpg,Target,Target,Mid,0.8962051999988034
00001,item_only,Objects\050b.jpg,Lure,Target,,
00001,item_only,Objects\002a.jpg,Target,Target,Pre,1.6919677000005322
00001,item_only,Objects\122a.jpg,Target,Lure,Mid,1.763380699998379
00001,item_only,Scenes\145b.jpg,Lure,Lure,,
00001,item_only,Scenes\074a.jpg,Target,Lure,Pre,0.9044180999990205
00001,item_only,Objects\146b.jpg,Lure,Target,,
00001,item_only,Foils\scenes5.jpg,Foil,Foil,,
00001,item_only,Scenes\032a.jpg,Target,Lure,Pre,0.750784100000601
00001,item_only,Foils\scenes23.jpg,Foil,Foil,,
00001,item_only,Objects\116b.jpg,Lure,Lure,,
00001,item_only,Foils\050a.jpg,Foil,Foil,,
00001,item_only,Objects\115b.jpg,Lure,Lure,,
00001,item_only,Foils\017a.jpg,Foil,Foil,,
00001,item_only,Objects\018a.jpg,Target,Lure,Mid,6.131398000001354
00001,item_only,Foils\scenes2.jpg,Foil,Target,,
00001,item_only,Scenes\073b.jpg,Lure,Target,,
00001,item_only,Scenes\022b.jpg,Lure,Lure,,
00001,item_only,Objects\049a.jpg,Target,Target,Pre,1.6052970999990066
00001,item_only,Scenes\104a.jpg,Target,Target,Mid,1.3351867999990643
00001,item_only,Objects\120b.jpg,Lure,Foil,,
00001,item_only,Foils\042a.jpg,Foil,Foil,,
00001,item_only,Scenes\026b.jpg,Lure,Target,,
00001,item_only,Scenes\084a.jpg,Target,Target,Mid,0.844947300000058
00001,item_only,Objects\170a.jpg,Target,Lure,Pre,1.5332022000002326
00001,item_only,Objects\132a.jpg,Target,Target,Mid,0.8790082999985316
00001,item_only,Objects\101a.jpg,Target,Target,Mid,1.7060316000024611
00001,item_only,Foils\105a.jpg,Foil,Lure,,
00001,item_only,Objects\161a.jpg,Target,Lure,Mid,2.024187900002289
00001,item_only,Objects\047a.jpg,Target,Lure,Mid,0.8112966000007873
00001,item_only,Foils\scenes8.jpg,Foil,Lure,,
00001,item_only,Objects\063b.jpg,Lure,Lure,,
00001,item_only,Scenes\115a.jpg,Target,Target,Mid,1.280106700000033
00001,item_only,Objects\133a.jpg,Target,Target,Pre,2.249776299999212
00001,item_only,Scenes\152a.jpg,Target,Target,Pre,0.7984154999976454
00001,item_only,Scenes\029b.jpg,Lure,Lure,,
00001,item_only,Objects\097b.jpg,Lure,Foil,,
00001,item_only,Scenes\004a.jpg,Target,Lure,Mid,0.6008647000016936
00001,item_only,Scenes\033b.jpg,Lure,Target,,
00002,item_only,Objects\029a.jpg,Target,Target,Pre,2.4534918000026664
00002,item_only,Objects\121a.jpg,Target,Lure,Mid,2.7085805000024266
00002,item_only,Objects\063a.jpg,Target,Lure,Mid,3.7121391000000585
00002,item_only,Scenes\088a.jpg,Target,Lure,Mid,1.82067829999869
00002,item_only,Scenes\166a.jpg,Target,Target,Pre,2.62791560000187
00002,item_only,Objects\112a.jpg,Target,Target,Pre,2.953061800002615
00002,item_only,Scenes\003b.jpg,Lure,Target,,
00002,item_only,Objects\114b.jpg,Lure,Lure,,
00002,item_only,Scenes\037a.jpg,Target,Lure,Pre,2.306222600000183
00002,item_only,Scenes\077b.jpg,Lure,Foil,,
00002,item_only,Objects\109b.jpg,Lure,Lure,,
00002,item_only,Foils\018a.jpg,Foil,Foil,,
00002,item_only,Scenes\027a.jpg,Target,Lure,Mid,3.1592821999984153
00002,item_only,Objects\128b.jpg,Lure,Lure,,
00002,item_only,Foils\106a.jpg,Foil,Foil,,
00002,item_only,Objects\110b.jpg,Lure,Foil,,
00002,item_only,Foils\026a.jpg,Foil,Lure,,
00002,item_only,Objects\023a.jpg,Target,Target,Mid,2.5243182000012894
00002,item_only,Scenes\161a.jpg,Target,Target,Mid,2.083648899999389
00002,item_only,Objects\032b.jpg,Lure,Lure,,
00002,item_only,Scenes\127a.jpg,Target,Foil,Pre,2.7720461999997497
00002,item_only,Scenes\123a.jpg,Target,Target,Mid,2.8393810000015947
00002,item_only,Foils\034a.jpg,Foil,Foil,,
00002,item_only,Foils\050a.jpg,Foil,Foil,,
00002,item_only,Scenes\007a.jpg,Target,Target,Pre,1.5666744000009205
00002,item_only,Objects\011b.jpg,Lure,Lure,,
00002,item_only,Foils\scenes28.jpg,Foil,Foil,,
00002,item_only,Scenes\130a.jpg,Target,Target,Mid,2.041194699999324
00002,item_only,Scenes\177a.jpg,Target,Target,Pre,2.32990129999962
00002,item_only,Foils\scenes6.jpg,Foil,Foil,,
00002,item_only,Objects\099b.jpg,Lure,Lure,,
00002,item_only,Scenes\143b.jpg,Lure,Target,,
00002,item_only,Objects\187a.jpg,Target,Target,Mid,2.366846299999452
00002,item_only,Scenes\137b.jpg,Lure,Target,,
00002,item_only,Scenes\136b.jpg,Lure,Lure,,
00002,item_only,Scenes\191b.jpg,Lure,Foil,,
00002,item_only,Scenes\189a.jpg,Target,Foil,Pre,1.8738916000002064
00002,item_only,Scenes\149b.jpg,Lure,Target,,
00002,item_only,Foils\scenes26.jpg,Foil,Foil,,
00002,item_only,Objects\161b.jpg,Lure,Lure,,
00002,item_only,Foils\066a.jpg,Foil,Foil,,
00002,item_only,Objects\014a.jpg,Target,Target,Pre,2.96534039999824
00002,item_only,Objects\054b.jpg,Lure,Lure,,
00002,item_only,Objects\072a.jpg,Target,Target,Mid,2.496589899998071
00002,item_only,Scenes\085a.jpg,Target,Foil,Mid,1.3723343000019668
00002,item_only,Scenes\005b.jpg,Lure,Target,,
00002,item_only,Scenes\121b.jpg,Lure,Lure,,
00002,item_only,Objects\158b.jpg,Lure,Lure,,
00002,item_only,Objects\040b.jpg,Lure,Lure,,
00002,item_only,Objects\107b.jpg,Lure,Lure,,
00002,item_only,Scenes\069a.jpg,Target,Foil,Mid,2.2388180999987526
00002,item_only,Scenes\114b.jpg,Lure,Foil,,
00002,item_only,Foils\098a.jpg,Foil,Foil,,
00002,item_only,Scenes\168b.jpg,Lure,Foil,,
00002,item_only,Objects\060a.jpg,Target,Foil,Pre,3.7944807999992918
00002,item_only,Scenes\068b.jpg,Lure,Lure,,
00002,item_only,Scenes\124b.jpg,Lure,Foil,,
00002,item_only,Foils\090a.jpg,Foil,Foil,,
00002,item_only,Scenes\175a.jpg,Target,Foil,Mid,2.2736952000013844
00002,item_only,Objects\118a.jpg,Target,Target,Mid,3.0878157999977702
00002,item_only,Foils\097a.jpg,Foil,Lure,,
00002,item_only,Objects\031a.jpg,Target,Target,Pre,2.0918373000022257
00002,item_only,Foils\scenes13.jpg,Foil,Foil,,
00002,item_only,Scenes\042a.jpg,Target,Target,Mid,3.8575832000024093
00002,item_only,Objects\178a.jpg,Target,Target,Mid,2.2721433000006077
00002,item_only,Foils\scenes22.jpg,Foil,Foil,,
00002,item_only,Scenes\104b.jpg,Lure,Target,,
00002,item_only,Scenes\034b.jpg,Lure,Target,,
00002,item_only,Scenes\169b.jpg,Lure,Lure,,
00002,item_only,Objects\073b.jpg,Lure,Target,,
00002,item_only,Scenes\107a.jpg,Target,Target,Mid,0.8289196000005177
00002,item_only,Objects\166b.jpg,Lure,Target,,
00002,item_only,Objects\019b.jpg,Lure,Foil,,
00002,item_only,Objects\125a.jpg,Target,Target,Pre,3.1465267000021413
00002,item_only,Objects\094a.jpg,Target,Target,Mid,5.8870329999990645
00002,item_only,Scenes\080a.jpg,Target,Target,Mid,2.1097620999971696
00002,item_only,Scenes\053b.jpg,Lure,Foil,,
00002,item_only,Scenes\091b.jpg,Lure,Target,,
00002,item_only,Foils\scenes18.jpg,Foil,Foil,,
00002,item_only,Scenes\082b.jpg,Lure,Target,,
00002,item_only,Foils\scenes7.jpg,Foil,Foil,,
00002,item_only,Objects\104b.jpg,Lure,Lure,,
00002,item_only,Scenes\060b.jpg,Lure,Foil,,
00002,item_only,Objects\123a.jpg,Target,Target,Mid,3.661700699998619
00002,item_only,Objects\078a.jpg,Target,Lure,Mid,3.229339200002869
00002,item_only,Objects\192b.jpg,Lure,Foil,,
00002,item_only,Objects\087a.jpg,Target,Target,Mid,2.3832972000018344
00002,item_only,Scenes\178a.jpg,Target,Lure,Mid,3.3486675000021933
00002,item_only,Scenes\163b.jpg,Lure,Lure,,
00002,item_only,Scenes\079b.jpg,Lure,Foil,,
00002,item_only,Objects\062b.jpg,Lure,Lure,,
00002,item_only,Objects\039a.jpg,Target,Lure,Pre,1.7941977999980736
00002,item_only,Scenes\033b.jpg,Lure,Target,,
00002,item_only,Scenes\182a.jpg,Target,Target,Mid,2.909870299998147
00002,item_only,Foils\scenes30.jpg,Foil,Foil,,
00002,item_only,Scenes\067a.jpg,Target,Target,Pre,1.3048233000008622
00002,item_only,Foils\057a.jpg,Foil,Lure,,
00002,item_only,Scenes\036b.jpg,Lure,Lure,,
00002,item_only,Scenes\050a.jpg,Target,Foil,Pre,1.9721491999989669
00002,item_only,Foils\scenes19.jpg,Foil,Foil,,
00002,item_only,Scenes\004a.jpg,Target,Foil,Mid,2.399595399998361
00002,item_only,Objects\181b.jpg,Lure,Target,,
00002,item_only,Objects\119b.jpg,Lure,Foil,,
00002,item_only,Objects\043b.jpg,Lure,Lure,,
00002,item_only,Foils\121a.jpg,Foil,Foil,,
00002,item_only,Objects\020a.jpg,Target,Target,Mid,2.357543199999782
00002,item_only,Foils\scenes4.jpg,Foil,Foil,,
00002,item_only,Scenes\110b.jpg,Lure,Foil,,
00002,item_only,Foils\042a.jpg,Foil,Lure,,
00002,item_only,Objects\045a.jpg,Target,Target,Pre,4.068814400001429
00002,item_only,Objects\065b.jpg,Lure,Foil,,
00002,item_only,Scenes\072a.jpg,Target,Target,Mid,2.384146899999905
00002,item_only,Scenes\164a.jpg,Target,Target,Mid,2.8377000000000407
00002,item_only,Foils\101b.jpg,Foil,Lure,,
00002,item_only,Objects\010b.jpg,Lure,Lure,,
00002,item_only,Objects\124a.jpg,Target,Lure,Mid,2.864903300000151
00002,item_only,Foils\017a.jpg,Foil,Foil,,
